gene_id,fisher_stat,fisher_pval,n_studies,mean_log2fc,median_log2fc,sd_log2fc,n_up,n_down,n_sig,direction_concordance,fisher_fdr,meta_log2fc,meta_se,meta_z,meta_pval,meta_ci_lb,meta_ci_ub,meta_I2,meta_tau2,meta_n,meta_het_pval,meta_fdr,consensus_class,direction,is_gwas_gene,is_de_gene,is_consensus_de,is_overlap,is_consensus_overlap,gwas_traits,n_gwas_associations
AT1G16400,1741.26956481488,0.0,18,0.823283320858814,0.0379708515670455,2.18546542588879,3,0,3,0.5,0.0,0.845994938458626,0.552011948875818,1.53256635147393,0.125382737493816,-0.235928600373743,1.92791847729099,98.5686500402635,5.0267430937008,18.0,1.11253692925362e-308,0.458642235220985,fisher_only,upregulated,True,True,False,True,False,clim-pet7,77.0
AT1G55850,1669.08895387256,0.0,18,0.163913199304736,0.195080936357653,0.754675744167387,4,2,6,0.777777777777778,0.0,0.16007924686053,0.185328240274402,0.863760680096633,0.387719371926045,-0.203157429395484,0.523315923116544,97.0195468353917,0.576806051143473,18.0,6.31249452658918e-245,0.739925537586957,fisher_only,upregulated,True,True,False,True,False,clim-gs9,55.0
AT1G65960,1626.81927317212,1.11253692927721e-308,18,0.0673290585836556,-0.115429783067296,0.68240564354848,2,3,5,0.722222222222222,1.1125369458093e-308,0.0718907919640345,0.169335802588194,0.424545730230867,0.671167861973169,-0.260001282402009,0.403782866330078,96.9080153545506,0.481332857878459,18.0,8.39236896599441e-258,0.889335056604681,fisher_only,upregulated,True,True,False,True,False,clim-gs4,478.0
AT1G68560,1471.43037171998,4.74340172319106e-286,18,0.353719610184055,0.181454039907466,0.627865504913592,6,1,7,0.777777777777778,2.15953765645034e-283,0.362610732770665,0.152386272445663,2.3795498567626,0.0173337979994517,0.063939127038856,0.661282338502474,97.0518230242804,0.396580009308296,18.0,1.33096082960576e-177,0.160373909184675,fisher_only,upregulated,True,True,False,True,False,clim-aet6,3180.0
AT3G28860,1442.71030978924,5.85121693472797e-280,18,0.377968328268509,0.200913540997691,0.666900609689729,3,0,3,0.833333333333333,2.5097852076803e-277,0.393921495184056,0.16439445300021,2.3961970005372,0.0165661839100434,0.0717142880454831,0.71612870232263,96.9563054390431,0.449632638312692,18.0,6.271852816817461e-180,0.15651039072869,fisher_only,upregulated,True,True,False,True,False,Mean(LRR) CK;Mean(LRD P) CK,1020.0
AT3G06770,1395.62026153051,5.598494435942119e-270,18,0.168448705865662,-0.122513426950205,1.05637460814301,3,2,5,0.666666666666667,2.06076212567257e-267,0.189918346310166,0.254465118480167,0.746343339489841,0.455460037229867,-0.30882412123268,0.688660813853012,97.5355937548954,1.10685831710915,18.0,5.282961622780799e-230,0.780913270997126,fisher_only,upregulated,True,True,False,True,False,clim-cyclevsgs;clim-gs sum,14.0
AT1G78970,1268.75022015233,1.05289442308168e-244,17,0.307370610780832,-0.0699441735242873,1.29727926583025,2,1,3,0.588235294117647,2.78807517614092e-242,0.349306800026133,0.355288498901405,0.98316382631645,0.325526815134262,-0.347045861941919,1.04565946199419,96.1354063587441,1.8598232185715,17.0,5.30308583199935e-183,0.695018035324722,fisher_only,upregulated,True,True,False,True,False,LRDpBZ75,812.0
AT1G69850,1189.85963423043,1.7892907144663e-226,18,-0.0230338059365557,0.0094881286527071,0.376754051841362,2,4,6,0.555555555555556,3.80598267916047e-224,-0.0435622361825338,0.0948007992648952,-0.459513385122534,0.645865542292033,-0.22936838844734,0.142243916082272,95.4848671869346,0.136000214577688,18.0,9.34135149225533e-77,0.879920017047874,fisher_only,downregulated,True,True,False,True,False,rFitness mlp,261.0
AT5G49690,1152.2375348119,1.5325642515636598e-218,18,0.928227272865289,0.602909349768439,1.75824595167167,5,2,7,0.888888888888889,2.9243241625149194e-216,0.854367864073238,0.409526624102979,2.08623277166566,0.0369575430378877,0.0517104301211256,1.65702529802535,98.6763844305628,2.78483230277701,18.0,6.66857208257262e-184,0.246019832338415,fisher_only,upregulated,True,True,False,True,False,PC2sc125,1.0
AT1G05850,1143.63571750823,9.95532208919039e-217,18,0.0046313248462101,-0.0529440605942534,0.487445152948781,2,5,7,0.5,1.8519396836955902e-214,0.0104560860132092,0.119263841244812,0.0876718870034217,0.930137464482763,-0.223296747484525,0.244208919510944,96.4286227026012,0.239821237587824,18.0,9.323742237192481e-188,0.979333681357857,fisher_only,upregulated,True,True,False,True,False,aLRLpMRL125,759.0
