broad_category,n_traits,total_gwas_genes,total_overlap,mean_fold_enrichment,median_fold_enrichment,median_fdr,min_fdr
Climate & Environmental,52,463,400,2.0682,2.0246,0.041,0.0045
Root Architecture,16,158,134,2.0343,2.0668,0.0371,0.0159
Ion Content,8,60,54,2.2075,2.3621,0.041,0.0189
Other,3,21,18,2.0199,2.0246,0.0627,0.041
Growth & Development,3,23,19,2.034,1.9684,0.0627,0.041
Flowering Time,3,17,15,2.0996,1.9684,0.0974,0.041
Fitness & Survival,2,18,14,1.8712,1.8712,0.0771,0.0627
Leaf Traits,1,6,5,1.9684,1.9684,0.0974,0.0974
Multivariate,1,11,10,2.1473,2.1473,0.0189,0.0189
Stomatal Traits,1,12,10,1.9684,1.9684,0.0296,0.0296
